stocksymbol,weighted_average
1,165
2,391
3,446
4,374
5,409
6,173
7,227
8,508
9,479
10,507
11,137
12,159
13,374
14,505
15,209
16,93
17,342
18,401
19,495
20,197
21,193
22,405
23,88
24,320
25,203
26,139
27,496
28,288
29,319
30,333
31,190
32,168
33,297
34,208
35,196
36,128
37,279
38,512
39,221
40,368
41,407
42,187
43,420
44,413
45,193
46,306
47,169
48,448
49,437
50,421
51,113
52,160
53,379
54,417
55,496
56,195
57,344
58,486
59,100
60,342
61,444
62,353
63,160
64,185
65,246
66,467
67,126
68,141
69,508
70,443
71,401
72,256
73,305
74,274
75,450
76,480
77,142
78,339
79,329
80,98
81,130
82,305
83,490
84,198
85,518
86,421
87,155
88,116
89,353
90,493
91,500
92,520
93,432
94,242
95,115
96,215
97,433
98,149
99,505
100,189
101,256
102,119
103,104
104,274
105,351
106,508
107,213
108,298
109,498
110,287
111,205
112,322
113,336
114,255
115,341
116,403
117,265
118,522
119,495
120,202
121,481
122,418
123,214
124,490
125,333
126,519
127,191
128,434
129,441
130,283
131,382
132,527
133,489
134,95
135,146
136,324
137,395
138,355
139,415
140,172
141,454
142,517
143,497
144,227
145,359
146,188
147,357
148,460
149,368
150,337
151,250
152,206
153,289
154,404
155,394
156,238
157,175
158,270
159,181
160,396
161,525
162,398
163,371
164,369
165,231
166,214
167,536
168,117
169,495
170,498
171,457
172,457
173,240
174,240
175,423
176,495
177,260
178,238
179,133
180,224
181,175
182,331
183,194
184,122
185,204
186,261
187,143
188,496
189,126
190,329
191,504
192,191
193,133
194,370
195,246
196,407
197,161
198,145
199,234
200,262
201,523
202,407
203,240
204,409
205,126
206,468
207,399
208,464
209,134
210,309
211,372
212,342
213,510
214,336
215,356
216,439
217,293
218,425
219,247
220,150
221,383
222,449
223,222
224,386
225,165
226,122
227,148
228,482
229,504
230,161
231,149
232,515
233,380
234,118
235,197
236,367
237,350
238,392
239,461
240,188
241,492
242,93
243,306
244,495
245,335
246,520
247,499
248,150
249,285
250,289
251,429
252,474
253,424
254,159
255,331
256,176
257,496
258,199
259,484
260,383
261,106
262,289
263,406
264,370
265,160
266,240
267,141
268,309
269,317
270,199
271,362
272,466
273,449
274,136
275,214
276,143
277,117
278,168
279,92
280,509
281,218
282,233
283,309
284,396
285,294
286,336
287,247
288,153
289,171
290,244
291,382
292,336
293,147
294,184
295,211
296,382
297,253
298,516
299,460
300,498
301,202
302,506
303,275
304,424
305,282
306,458
307,387
308,398
309,404
310,117
311,223
312,368
313,433
314,357
315,155
316,371
317,266
318,218
319,523
320,394
321,479
322,464
323,96
324,222
325,355
326,493
327,168
328,246
329,274
330,327
331,130
332,310
333,367
334,418
335,489
336,449
337,412
338,196
339,286
340,295
341,123
342,214
343,481
344,105
345,167
346,110
347,331
348,469
349,348
350,333
351,404
352,245
353,485
354,346
355,306
356,102
357,417
358,446
359,225
360,493
361,352
362,196
363,160
364,267
365,465
366,315
367,289
368,112
369,282
370,138
371,288
372,112
373,366
374,182
375,177
376,277
377,290
378,258
379,502
380,133
381,252
382,97
383,339
384,342
385,197
386,222
387,215
388,389
389,130
390,118
391,243
392,430
393,452
394,346
395,204
396,429
397,198
398,326
399,234
400,194
401,390
402,361
403,317
404,336
405,499
406,504
407,115
408,391
409,330
410,312
411,111
412,143
413,194
414,298
415,140
416,325
417,230
418,313
419,138
420,483
421,412
422,134
423,257
424,214
425,128
426,471
427,166
428,308
429,403
430,137
431,273
432,443
433,509
434,130
435,410
436,321
437,346
438,495
439,157
440,207
441,267
442,496
443,201
444,175
445,415
446,234
447,484
448,210
449,368
450,159
451,232
452,334
453,230
454,149
455,404
456,381
457,304
458,375
459,306
460,103
461,377
462,154
463,409
464,192
465,239
466,105
467,137
468,493
469,239
470,160
471,273
472,141
473,355
474,437
475,414
476,406
477,227
478,465
479,234
480,484
481,148
482,406
483,141
484,380
485,335
486,366
487,336
488,473
489,190
490,487
491,216
492,415
493,139
494,460
495,161
496,495
497,314
498,506
499,368
500,498
501,184
502,232
503,304
504,120
505,329
506,178
507,122
508,458
509,297
510,249
511,257
512,388
513,247
514,190
515,291
516,361
517,294
518,406
519,199
520,118
521,403
522,161
523,482
524,137
525,308
526,242
527,456
528,439
529,384
530,444
531,479
532,180
533,242
534,344
535,389
536,274
537,296
538,118
539,271
540,153
541,530
542,177
543,394
544,524
545,119
546,483
547,490
548,174
549,351
550,112
551,152
552,294
553,203
554,149
555,256
556,375
557,537
558,429
559,492
560,386
561,267
562,251
563,415
564,509
565,174
566,480
567,287
568,367
569,190
570,253
571,135
572,199
573,489
574,308
575,497
576,448
577,266
578,112
579,116
580,258
581,427
582,419
583,361
584,316
585,399
586,501
587,380
588,260
589,494
590,477
591,225
592,488
593,320
594,473
595,492
596,495
597,283
598,181
599,112
600,107
601,453
602,204
603,314
604,287
605,110
606,296
607,351
608,371
609,280
610,301
611,413
612,218
613,335
614,365
615,237
616,133
617,282
618,342
619,480
620,455
621,385
622,444
623,190
624,487
625,365
626,291
627,122
628,251
629,491
630,385
631,178
632,445
633,380
634,186
635,490
636,494
637,251
638,287
639,101
640,159
641,515
642,192
643,366
644,268
645,310
646,430
647,205
648,211
649,407
650,248
651,249
652,251
653,496
654,167
655,324
656,367
657,365
658,368
659,372
660,250
661,432
662,376
663,492
664,503
665,526
666,401
667,208
668,476
669,289
670,391
671,186
672,198
673,427
674,145
675,518
676,496
677,283
678,346
679,191
680,168
681,191
682,134
683,262
684,293
685,293
686,173
687,486
688,175
689,180
690,497
691,171
692,487
693,387
694,534
695,166
696,238
697,402
698,291
699,508
700,494
701,380
702,524
703,334
704,299
705,451
706,518
707,375
708,298
709,489
710,321
711,407
712,131
713,120
714,482
715,341
716,491
717,381
718,424
719,213
720,350
721,418
722,304
723,301
724,320
725,292
726,112
727,512
728,245
729,471
730,471
731,253
732,359
733,488
734,227
735,116
736,377
737,339
738,440
739,166
740,289
741,495
742,339
743,508
744,424
745,131
746,491
747,301
748,197
749,286
750,209
751,427
752,189
753,390
754,307
755,109
756,156
757,270
758,291
759,238
760,466
761,485
762,355
763,133
764,108
765,272
766,485
767,327
768,285
769,465
770,207
771,127
772,163
773,276
774,355
775,188
776,154
777,196
778,486
779,139
780,142
781,116
782,208
783,116
784,375
785,519
786,480
787,446
788,227
789,399
790,406
791,502
792,514
793,200
794,136
795,122
796,94
797,170
798,493
799,158
800,314
801,425
802,129
803,246
804,286
805,296
806,469
807,279
808,301
809,250
810,258
811,379
812,160
813,436
814,297
815,414
816,390
817,484
818,213
819,260
820,528
821,518
822,260
823,459
824,495
825,140
826,286
827,194
828,148
829,235
830,212
831,533
832,449
833,353
834,450
835,193
836,347
837,389
838,337
839,387
840,422
841,340
842,165
843,270
844,429
845,493
846,165
847,237
848,400
849,443
850,347
851,499
852,469
853,235
854,157
855,436
856,147
857,503
858,139
859,463
860,209
861,499
862,295
863,271
864,361
865,245
866,378
867,220
868,501
869,360
870,400
871,182
872,179
873,217
874,189
875,170
876,182
877,448
878,304
879,138
880,262
881,513
882,177
883,125
884,170
885,279
886,306
887,287
888,459
889,118
890,194
891,254
892,170
893,129
894,498
895,273
896,336
897,125
898,228
899,173
900,385
901,445
902,332
903,144
904,129
905,487
906,164
907,428
908,420
909,155
910,425
911,218
912,299
913,301
914,497
915,264
916,145
917,303
918,154
919,330
920,460
921,207
922,275
923,345
924,175
925,295
926,294
927,424
928,428
929,237
930,504
931,500
932,259
933,202
934,251
935,507
936,166
937,470
938,411
939,497
940,204
941,308
942,346
943,321
944,406
945,270
946,445
947,521
948,373
949,227
950,121
951,444
952,163
953,106
954,418
955,430
956,185
957,202
958,485
959,356
